Index,ID,X Position,Y Position,Z Position,Type,Subnet,Address,Orientation
80,303,-2.108379883,0,-2.158743,DAA,4,30,+Y
81,304,-2.774189941,0,-2.158743,DAA,2,32,+Y
82,305,-3.44,0,-2.158743,DAA,3,32,+Y
83,306,-3.96801001,0,-2.158743,SAA,2,6,NA
84,307,-0.44386499,0.576605408,-2.158743,SAA,1,7,NA
85,308,-1.109680054,0.576605408,-2.158743,DAA,4,31,+Y
86,309,-1.77548999,0.576605408,-2.158743,DAA,2,33,+Y
87,310,-2.441300049,0.576605408,-2.158743,DAA,3,33,+Y
88,311,-3.107080078,0.576605408,-2.158743,DAA,1,31,-Y
89,312,-3.772889893,0.576605408,-2.158743,DAA,4,32,+X
90,313,0,1.15321106,-2.158743,DAA,2,34,+Y
91,314,-0.77678302,1.15321106,-2.158743,DAA,3,34,+Y
92,315,-1.442569946,1.15321106,-2.158743,DAA,1,32,+Y
93,316,-2.108379883,1.15321106,-2.158743,DAA,4,33,+Y
94,317,-2.774189941,1.15321106,-2.158743,DAA,2,35,+Y
95,318,-3.44,1.15321106,-2.158743,DAA,3,35,+Y
96,319,-3.9005,0.997686584,-2.158743,SAA,2,7,NA
97,320,-0.44386499,1.72981604,-2.158743,DAA,1,33,+Y
98,321,-1.109680054,1.72981604,-2.158743,DAA,4,34,+Y
99,322,-1.77548999,1.72981604,-2.158743,DAA,2,36,+Y
100,323,-2.44127002,1.72981604,-2.158743,DAA,3,36,+Y
101,324,-3.107080078,1.72981604,-2.158743,DAA,1,34,+Y
102,325,-3.724449951,1.517954956,-2.158743,SAA,4,7,NA
103,326,0,2.306422119,-2.158743,DAA,2,37,+Y
104,327,-0.77678302,2.306422119,-2.158743,DAA,3,37,+Y
105,328,-1.442569946,2.306422119,-2.158743,DAA,1,35,+X
106,329,-2.108379883,2.306422119,-2.158743,DAA,4,35,+Y
107,330,-2.774189941,2.306422119,-2.158743,DAA,2,38,+Y
108,331,-3.387949951,2.167406982,-2.158743,SAA,3,7,NA
109,332,-0.44386499,2.8830271,-2.158743,DAA,1,36,+Y
110,333,-1.109680054,2.8830271,-2.158743,DAA,4,36,+Y
111,334,-1.77548999,2.8830271,-2.158743,DAA,2,39,-Y
112,335,-2.44127002,2.8830271,-2.158743,DAA,3,38,+X
113,336,-2.939360107,2.745180908,-2.158743,SAA,4,8,NA
114,337,-0.221945007,3.45963208,-2.158743,DAA,2,40,+Y
115,338,-0.88772998,3.45963208,-2.158743,DAA,3,39,+Y
116,339,-1.553540039,3.267430908,-2.158743,SAA,1,8,NA
117,340,-2.08972998,3.436391113,-2.158743,SAA,4,9,NA
118,341,-0.365734985,4.00525,-2.158743,SAA,1,9,NA
119,342,-1.085089966,3.872762939,-2.158743,SAA,2,8,NA
120,343,-1.60401001,3.692779053,-2.158743,SAA,3,8,NA
121,407,0.44386499,0.576605408,-2.158743,SAA,1,10,NA
122,408,1.109675049,0.576605408,-2.158743,DAA,4,37,+Y
123,409,1.775484985,0.576605408,-2.158743,DAA,2,41,+Y
124,410,2.441295898,0.576605408,-2.158743,DAA,3,40,+Y
125,411,3.107080078,0.576605408,-2.158743,DAA,1,37,-Y
126,412,3.772891113,0.576605408,-2.158743,DAA,4,38,-X
127,414,0.776782776,1.15321106,-2.158743,DAA,3,41,+Y
128,415,1.442567993,1.15321106,-2.158743,DAA,1,38,+Y
129,416,2.10837793,1.15321106,-2.158743,DAA,4,39,+Y
130,417,2.774187988,1.15321106,-2.158743,DAA,2,42,+Y
131,418,3.439998047,1.15321106,-2.158743,DAA,3,42,+Y
132,419,3.9005,0.997686584,-2.158743,SAA,2,9,NA
